2023-08-25 15:59:26,870 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:27,593 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:28,006 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:28,406 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:28,792 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:29,195 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:29,596 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:30,041 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:30,447 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:30,842 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:31,247 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:31,654 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:32,547 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:32,954 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:33,373 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:34,058 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:34,469 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:34,875 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:35,915 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:36,641 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:37,025 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:37,413 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:37,815 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:38,562 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:38,958 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:39,468 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:40,156 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:40,918 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:41,313 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:42,009 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:42,717 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:43,436 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:43,822 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:44,222 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:44,663 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:45,110 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:45,511 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:45,910 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:46,315 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:46,783 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:47,462 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:47,911 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:48,311 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:48,728 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:49,122 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:49,535 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:49,946 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:50,414 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:50,807 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:51,216 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:51,611 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:52,020 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:52,494 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:53,258 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:53,692 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:54,106 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:54,872 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:55,656 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:56,241 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:56,715 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:57,103 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:57,547 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:58,256 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:58,672 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:59,157 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 15:59:59,563 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 16:00:00,349 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 16:00:00,746 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 16:00:01,253 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 16:00:01,639 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0'}
2023-08-25 16:00:02,124 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.006382'}
