date,open,high,low,close,volume,y,coef,upper_band,lower_band,band_dist,extrema,last_min_peak,last_max_peak,h_dist,l_dist,h_ratio,l_ratio,l_h_ratio,l_l_ratio,last_max,last_min,enter_tag,enter_long,enter_short
2024-11-16 03:37:00+00:00,91311.0,91428.7,91276.0,91399.7,153.704,90870.33795071079,-0.06426742706762488,91195.12221667275,90545.55368474883,649.5685319239274,1,91105.1,91275.2,233.5777833272441,0.0,0.3595891300882768,0.0,0.3205620695376841,-1.0591906290804354,91202.2,91137.3,,,
2024-11-16 03:38:00+00:00,91399.7,91413.4,91286.6,91311.1,38.393,90870.27368328373,-0.06426742706762488,91195.05794924569,90545.48941732176,649.5685319239274,0,91105.1,91275.2,0.0,0.0,0.0,0.0,0.3205620695376841,-1.0591906290804354,91202.2,91137.3,,,
2024-11-16 03:39:00+00:00,91311.1,91353.4,91273.6,91328.3,62.616,90870.20941585665,-0.06426742706762488,91194.99368181861,90545.42514989468,649.5685319239274,0,91105.1,91275.2,0.0,0.0,0.0,0.0,0.3205620695376841,-1.0591906290804354,91202.2,91137.3,,,
2024-11-16 03:40:00+00:00,91328.3,91374.4,91311.6,91365.2,34.798,90870.14514842958,-0.06426742706762488,91194.92941439155,90545.36088246762,649.5685319239274,0,91105.1,91275.2,0.0,0.0,0.0,0.0,0.3205620695376841,-1.0591906290804354,91202.2,91137.3,,,
2024-11-16 03:41:00+00:00,91365.2,91390.3,91350.0,91390.3,27.085,90870.08088100252,-0.06426742706762488,91194.86514696448,90545.29661504056,649.5685319239274,0,91105.1,91275.2,0.0,0.0,0.0,0.0,0.3205620695376841,-1.0591906290804354,91202.2,91137.3,,,
2024-11-16 03:42:00+00:00,91390.3,91393.0,91286.5,91302.0,58.153,90870.01661357546,-0.06426742706762488,91194.80087953742,90545.23234761349,649.5685319239274,0,91105.1,91275.2,0.0,0.0,0.0,0.0,0.3205620695376841,-1.0591906290804354,91202.2,91137.3,,,
2024-11-16 03:43:00+00:00,91302.0,91338.6,91291.2,91333.4,17.481,90869.95234614838,-0.06426742706762488,91194.73661211034,90545.16808018641,649.5685319239274,0,91105.1,91275.2,0.0,0.0,0.0,0.0,0.3205620695376841,-1.0591906290804354,91202.2,91137.3,,,
2024-11-16 03:44:00+00:00,91333.4,91336.6,91300.0,91305.6,33.437,90869.88807872131,-0.06426742706762488,91194.67234468328,90545.10381275935,649.5685319239274,0,91105.1,91275.2,0.0,0.0,0.0,0.0,0.3205620695376841,-1.0591906290804354,91202.2,91137.3,,,
2024-11-16 03:45:00+00:00,91305.6,91305.6,91214.6,91277.0,44.573,90869.82381129425,-0.06426742706762488,91194.60807725621,90545.03954533229,649.5685319239274,0,91105.1,91275.2,0.0,0.0,0.0,0.0,0.3205620695376841,-1.0591906290804354,91202.2,91137.3,,,
2024-11-16 03:46:00+00:00,91277.0,91277.1,91212.6,91269.4,19.051,90869.75954386719,-0.06426742706762488,91194.54380982915,90544.97527790522,649.5685319239274,0,91105.1,91275.2,0.0,0.0,0.0,0.0,0.3205620695376841,-1.0591906290804354,91202.2,91137.3,,,
2024-11-16 03:47:00+00:00,91269.4,91324.5,91269.4,91296.1,22.36,90869.6952764401,-0.06426742706762488,91194.47954240207,90544.91101047814,649.5685319239274,0,91105.1,91275.2,0.0,0.0,0.0,0.0,0.3205620695376841,-1.0591906290804354,91202.2,91137.3,,,
2024-11-16 03:48:00+00:00,91296.1,91327.1,91280.4,91312.2,11.069,90869.63100901304,-0.06426742706762488,91194.415274975,90544.84674305108,649.5685319239274,0,91105.1,91275.2,0.0,0.0,0.0,0.0,0.3205620695376841,-1.0591906290804354,91202.2,91137.3,,,
