price,volume,side
97182.1,7.834,bid
97182.0,0.52,bid
97181.9,0.375,bid
97181.0,0.041,bid
97180.5,0.001,bid
97180.0,0.079,bid
97179.5,0.001,bid
97179.4,0.118,bid
97178.8,0.123,bid
97178.6,0.001,bid
97178.4,0.001,bid
97177.6,0.002,bid
97177.5,0.502,bid
97177.4,0.446,bid
97177.2,0.72,bid
97176.8,0.042,bid
97176.7,0.608,bid
97176.6,0.508,bid
97176.0,0.079,bid
97175.7,0.001,bid
97175.4,0.123,bid
97174.7,0.001,bid
97174.0,0.041,bid
97173.7,0.001,bid
97173.1,0.009,bid
97172.9,0.015,bid
97172.8,0.03,bid
97172.7,0.03,bid
97172.6,0.015,bid
97172.5,0.105,bid
97172.4,0.016,bid
97172.3,0.076,bid
97172.1,0.045,bid
97172.0,0.015,bid
97171.9,1.225,bid
97171.7,0.03,bid
97171.2,0.031,bid
97170.7,0.031,bid
97170.5,0.041,bid
97170.4,0.048,bid
97170.3,0.058,bid
97170.1,0.007,bid
97170.0,0.496,bid
97169.9,0.603,bid
97169.8,0.02,bid
97169.6,0.007,bid
97168.8,0.062,bid
97168.6,0.123,bid
97168.3,0.06,bid
97168.2,0.03,bid
97168.1,0.075,bid
97168.0,0.139,bid
97167.9,0.016,bid
97167.8,0.03,bid
97167.7,0.015,bid
97167.6,0.03,bid
97167.5,0.101,bid
97167.4,0.03,bid
97167.3,0.06,bid
97167.2,0.06,bid
97167.1,0.227,bid
97167.0,1.529,bid
97166.9,0.151,bid
97166.8,0.723,bid
97166.7,0.06,bid
97166.6,0.015,bid
97166.5,0.03,bid
97166.4,0.03,bid
97166.3,0.015,bid
97166.2,0.01,bid
97166.0,0.001,bid
97165.9,0.03,bid
97165.8,0.051,bid
97165.7,0.01,bid
97165.6,0.065,bid
97165.5,0.745,bid
97165.4,0.015,bid
97165.3,0.22,bid
97165.2,0.183,bid
97165.1,0.091,bid
97165.0,0.091,bid
97164.9,0.12,bid
97164.8,0.58,bid
97164.6,0.03,bid
97164.5,0.111,bid
97164.3,0.023,bid
97164.0,0.121,bid
97163.5,0.056,bid
97163.3,0.066,bid
97163.2,0.09,bid
97163.1,0.105,bid
97163.0,0.092,bid
97162.9,0.1,bid
97162.8,0.25,bid
97162.7,0.22,bid
97162.6,0.18,bid
97162.5,0.105,bid
97162.4,0.09,bid
97162.3,0.045,bid
97162.2,0.06,bid
97162.1,0.046,bid
97162.0,1.262,bid
97161.9,0.015,bid
97161.8,0.178,bid
97161.7,0.52,bid
97161.6,0.015,bid
97161.5,0.03,bid
97161.4,0.03,bid
97161.3,0.06,bid
97161.2,0.045,bid
97161.1,0.673,bid
97161.0,0.09,bid
97160.9,0.081,bid
97160.8,0.16,bid
97160.7,0.03,bid
97160.6,0.424,bid
97160.5,0.015,bid
97160.1,0.001,bid
97160.0,0.13,bid
97159.9,0.052,bid
97159.5,0.402,bid
97159.3,0.051,bid
97158.8,0.424,bid
97158.6,0.101,bid
97158.4,0.123,bid
97158.2,0.052,bid
97158.1,0.051,bid
97158.0,0.008,bid
97157.9,0.01,bid
97157.8,0.101,bid
97157.7,0.051,bid
97157.6,0.092,bid
97157.5,0.051,bid
97157.3,1.085,bid
97157.2,1.186,bid
97157.1,1.278,bid
97157.0,0.477,bid
97156.7,0.051,bid
97156.6,0.051,bid
97156.5,0.041,bid
97156.4,0.051,bid
97156.3,0.72,bid
97156.0,0.079,bid
97155.9,0.01,bid
97155.7,0.101,bid
97155.6,0.051,bid
97155.5,0.003,bid
97155.2,0.12,bid
97155.0,0.547,bid
97154.8,0.1,bid
97154.6,0.1,bid
97154.3,0.001,bid
97154.2,0.001,bid
97154.1,0.424,bid
97153.9,0.01,bid
97153.8,0.151,bid
97153.6,0.1,bid
97153.5,0.002,bid
97153.0,0.651,bid
97152.9,0.505,bid
97152.4,0.001,bid
97152.3,0.129,bid
97152.2,0.449,bid
97152.1,0.432,bid
97152.0,1.262,bid
97151.9,0.424,bid
97151.4,0.008,bid
97151.2,0.041,bid
97151.1,0.004,bid
97151.0,0.325,bid
97150.8,0.424,bid
97150.4,0.002,bid
97149.9,0.424,bid
97149.5,0.001,bid
97148.9,1.033,bid
97148.6,0.041,bid
97148.5,0.022,bid
97148.4,0.001,bid
97148.2,0.008,bid
97148.1,0.305,bid
97148.0,0.799,bid
97147.4,0.054,bid
97147.1,0.007,bid
97146.6,0.001,bid
97146.3,1.178,bid
97146.2,0.355,bid
97146.0,0.051,bid
97145.9,0.041,bid
97145.7,0.105,bid
97145.6,0.005,bid
97145.5,0.001,bid
97145.3,0.001,bid
97145.1,0.011,bid
97144.8,0.041,bid
97144.4,0.052,bid
97144.0,0.654,bid
97143.9,0.001,bid
97143.8,0.051,bid
97143.1,0.698,bid
97142.7,0.001,bid
97182.2,0.003,ask
97182.3,0.001,ask
97182.8,0.051,ask
97183.3,0.001,ask
97185.0,0.051,ask
97185.1,0.002,ask
97185.2,0.001,ask
97186.4,0.051,ask
97186.6,0.05,ask
97186.7,0.103,ask
97187.2,0.001,ask
97187.5,0.006,ask
97188.2,0.001,ask
97190.6,0.051,ask
97191.1,0.004,ask
97191.5,0.001,ask
97191.9,0.274,ask
97192.0,0.081,ask
97192.2,0.001,ask
97192.4,0.051,ask
97192.5,1.083,ask
97192.8,0.051,ask
97193.0,0.027,ask
97193.2,0.116,ask
97193.3,1.033,ask
97193.5,0.051,ask
97193.6,0.568,ask
97193.8,0.051,ask
97194.0,0.001,ask
97194.1,0.01,ask
97194.2,0.102,ask
97194.4,0.01,ask
97194.6,0.054,ask
97194.8,0.012,ask
97194.9,0.052,ask
97195.0,0.112,ask
97195.1,0.39,ask
97195.2,0.424,ask
97195.7,0.035,ask
97195.8,0.123,ask
97195.9,0.052,ask
97196.0,0.465,ask
97196.1,0.01,ask
97196.2,0.051,ask
97196.4,0.001,ask
97196.5,2.153,ask
97196.6,0.051,ask
97196.8,0.112,ask
97196.9,0.001,ask
97197.0,0.015,ask
97197.1,0.118,ask
97197.3,0.015,ask
97197.4,0.03,ask
97197.6,0.06,ask
97197.7,0.011,ask
97197.8,0.12,ask
97197.9,0.451,ask
97198.0,0.075,ask
97198.1,0.989,ask
97198.2,0.079,ask
97198.3,0.236,ask
97198.4,0.261,ask
97198.5,0.075,ask
97198.6,0.176,ask
97198.7,0.004,ask
97198.8,0.302,ask
97198.9,0.258,ask
97199.0,0.109,ask
97199.1,0.045,ask
97199.3,0.135,ask
97199.4,0.484,ask
97199.5,0.097,ask
97199.6,0.06,ask
97199.8,0.436,ask
97199.9,0.165,ask
97200.0,0.346,ask
97200.1,0.137,ask
97200.2,0.051,ask
97200.3,0.319,ask
97200.4,0.21,ask
97200.5,0.261,ask
97200.6,0.21,ask
97200.8,0.346,ask
97200.9,0.03,ask
97201.0,0.045,ask
97201.1,0.045,ask
97201.2,0.723,ask
97201.3,0.071,ask
97201.4,1.289,ask
97201.5,1.159,ask
97201.6,0.062,ask
97201.7,0.021,ask
97201.9,0.022,ask
97202.2,0.051,ask
97202.3,0.028,ask
97202.4,0.041,ask
97202.5,0.109,ask
97202.6,0.011,ask
97202.7,0.001,ask
97202.9,0.007,ask
97203.0,0.524,ask
97203.3,0.007,ask
97203.5,0.005,ask
97203.7,0.031,ask
