price,volume,side
97178.9,4.736,bid
97176.0,0.079,bid
97175.7,0.438,bid
97175.6,0.461,bid
97175.4,0.082,bid
97174.7,0.001,bid
97174.5,0.446,bid
97174.3,0.02,bid
97174.0,0.082,bid
97173.7,0.001,bid
97172.8,0.446,bid
97172.7,0.001,bid
97172.5,0.007,bid
97172.0,0.161,bid
97171.8,0.001,bid
97170.7,0.435,bid
97170.6,0.1,bid
97170.5,0.082,bid
97170.4,0.041,bid
97170.3,0.001,bid
97170.0,0.01,bid
97169.8,0.001,bid
97169.7,0.13,bid
97169.6,0.086,bid
97169.5,0.041,bid
97169.4,0.032,bid
97169.3,0.209,bid
97169.2,0.032,bid
97169.1,0.065,bid
97168.9,0.063,bid
97168.6,0.113,bid
97168.5,0.031,bid
97168.4,0.01,bid
97168.0,0.079,bid
97167.9,0.001,bid
97167.2,0.015,bid
97167.0,0.083,bid
97166.9,0.031,bid
97166.8,0.002,bid
97166.7,0.045,bid
97166.6,0.03,bid
97166.4,0.045,bid
97166.1,0.015,bid
97166.0,0.001,bid
97165.7,0.015,bid
97165.6,0.519,bid
97165.5,0.385,bid
97165.3,0.045,bid
97165.2,0.112,bid
97165.1,0.015,bid
97165.0,0.001,bid
97164.9,0.015,bid
97164.1,0.001,bid
97164.0,0.121,bid
97163.9,0.09,bid
97163.8,0.295,bid
97163.7,0.035,bid
97163.6,0.03,bid
97163.5,0.127,bid
97163.4,0.075,bid
97163.3,0.06,bid
97163.0,0.047,bid
97162.9,0.015,bid
97162.7,0.03,bid
97162.6,0.066,bid
97162.3,0.015,bid
97162.1,0.001,bid
97162.0,0.015,bid
97161.9,0.03,bid
97161.8,0.163,bid
97161.7,0.073,bid
97161.6,0.04,bid
97161.5,0.015,bid
97161.4,0.03,bid
97161.3,0.03,bid
97161.2,0.051,bid
97161.1,0.001,bid
97161.0,0.015,bid
97160.9,0.015,bid
97160.8,0.01,bid
97160.7,0.015,bid
97160.6,0.72,bid
97160.2,0.155,bid
97160.1,4.085,bid
97160.0,13.724,bid
