price,volume,side
96359.8,0.475,bid
96359.5,0.011,bid
96359.4,0.001,bid
96358.7,0.001,bid
96358.5,0.007,bid
96357.7,0.549,bid
96357.6,0.001,bid
96356.7,0.011,bid
96356.6,0.001,bid
96355.2,0.002,bid
96354.9,0.035,bid
96354.8,0.042,bid
96354.7,0.001,bid
96352.7,0.002,bid
96352.0,0.011,bid
96351.8,0.001,bid
96351.3,0.003,bid
96351.2,0.042,bid
96350.9,0.001,bid
96350.8,0.001,bid
96350.7,0.011,bid
96350.2,0.004,bid
96350.1,0.002,bid
96349.8,0.001,bid
96349.7,0.455,bid
96348.8,0.001,bid
96347.6,0.572,bid
96347.3,0.572,bid
96346.9,0.001,bid
96346.6,0.101,bid
96346.5,0.001,bid
96345.9,0.087,bid
96345.5,0.088,bid
96345.4,0.001,bid
96344.8,0.575,bid
96344.5,0.042,bid
96344.3,0.001,bid
96344.2,0.156,bid
96344.0,0.001,bid
96343.7,0.001,bid
96342.5,0.008,bid
96342.4,0.084,bid
96342.1,0.001,bid
96341.7,0.013,bid
96341.6,0.003,bid
96341.5,0.572,bid
96341.4,1.033,bid
96341.0,0.003,bid
96340.4,0.001,bid
96340.3,0.572,bid
96340.2,1.328,bid
96340.0,0.578,bid
96339.9,0.021,bid
96339.6,0.006,bid
96339.5,0.011,bid
96339.4,0.051,bid
96339.2,0.573,bid
96339.0,0.042,bid
96338.3,0.572,bid
96338.2,0.72,bid
96338.1,0.003,bid
96337.9,0.004,bid
96337.7,0.003,bid
96337.5,0.042,bid
96337.4,0.011,bid
96337.2,0.012,bid
96336.8,0.001,bid
96336.7,0.651,bid
96336.6,0.896,bid
96336.5,0.005,bid
96336.3,0.011,bid
96336.0,0.005,bid
96335.8,0.002,bid
96335.7,0.572,bid
96335.4,0.01,bid
96335.3,0.006,bid
96335.0,0.005,bid
96334.9,0.572,bid
96334.5,1.274,bid
96334.4,1.033,bid
96334.1,0.073,bid
96334.0,0.156,bid
96333.9,0.572,bid
96333.6,0.127,bid
96333.3,0.721,bid
96333.2,0.206,bid
96333.1,0.001,bid
96333.0,0.024,bid
96332.9,0.006,bid
96332.8,1.038,bid
96332.1,0.071,bid
96332.0,0.206,bid
96331.5,0.559,bid
96331.4,0.032,bid
96330.8,0.001,bid
96330.7,0.001,bid
96330.6,1.511,bid
96330.5,0.006,bid
96330.2,0.003,bid
96329.5,0.001,bid
96329.4,0.004,bid
96328.8,0.033,bid
96328.5,0.559,bid
96328.4,0.837,bid
96328.3,0.572,bid
96327.7,0.011,bid
96327.6,0.57,bid
96327.5,0.053,bid
96327.1,0.011,bid
96327.0,0.022,bid
96326.8,1.033,bid
96326.7,0.011,bid
96326.6,0.565,bid
96326.5,0.011,bid
96326.2,0.003,bid
96326.1,0.081,bid
96325.9,0.056,bid
96325.7,0.011,bid
96325.6,0.001,bid
96325.1,0.024,bid
96325.0,0.862,bid
96324.9,0.19,bid
96323.9,0.001,bid
96323.8,0.052,bid
96323.6,0.589,bid
96323.5,0.721,bid
96323.3,0.001,bid
96323.1,0.03,bid
96323.0,0.024,bid
96322.8,0.001,bid
96322.5,0.004,bid
96322.4,0.001,bid
96322.3,0.644,bid
96322.0,0.161,bid
96321.8,0.002,bid
96321.7,0.56,bid
96321.5,1.251,bid
96321.0,0.028,bid
96320.9,1.038,bid
96320.4,0.57,bid
96320.1,0.096,bid
96320.0,0.006,bid
96319.8,0.001,bid
96319.2,0.154,bid
96318.9,1.167,bid
96318.8,1.105,bid
96318.7,0.558,bid
96318.6,1.185,bid
96318.4,0.001,bid
96318.3,0.415,bid
96318.1,0.006,bid
96318.0,0.869,bid
96317.9,0.008,bid
96317.8,0.001,bid
96317.6,0.005,bid
96317.4,0.01,bid
96317.2,0.008,bid
96317.1,0.012,bid
96317.0,0.384,bid
96316.8,0.559,bid
96316.4,0.002,bid
96316.3,0.003,bid
96316.2,0.384,bid
96316.1,1.814,bid
96316.0,0.19,bid
96315.9,0.001,bid
96315.8,0.001,bid
96314.7,0.578,bid
96314.4,0.327,bid
96314.3,0.295,bid
96314.2,0.016,bid
96313.9,0.13,bid
96313.8,0.558,bid
96313.7,0.746,bid
96313.4,0.003,bid
96313.0,0.381,bid
96312.0,0.073,bid
96311.9,2.895,bid
96311.3,0.001,bid
96311.0,0.198,bid
96310.4,0.008,bid
96309.8,1.734,bid
96309.7,1.05,bid
96309.6,0.001,bid
96309.4,0.052,bid
96309.3,0.001,bid
96309.1,0.19,bid
96308.9,0.565,bid
96308.8,0.72,bid
96308.7,0.215,bid
96308.5,0.253,bid
96308.1,0.005,bid
96308.0,0.381,bid
96307.9,2.057,bid
96307.8,0.127,bid
96307.6,0.296,bid
96307.5,0.1,bid
96307.1,0.836,bid
96307.0,0.559,bid
96306.9,0.005,bid
96359.9,9.784,ask
96360.0,0.093,ask
96360.1,0.225,ask
96360.5,1.167,ask
96361.1,0.06,ask
96361.7,0.001,ask
96362.5,0.375,ask
96362.8,0.084,ask
96363.9,0.456,ask
96364.0,0.135,ask
96365.0,0.005,ask
96365.5,0.042,ask
96366.1,0.01,ask
96366.2,0.042,ask
96367.0,0.259,ask
96367.1,0.505,ask
96367.3,0.001,ask
96368.0,0.093,ask
96368.1,0.001,ask
96369.2,0.001,ask
96369.3,0.001,ask
96369.5,0.002,ask
96369.6,0.084,ask
96369.9,0.721,ask
96370.0,0.001,ask
96370.1,0.286,ask
96370.2,0.072,ask
96370.4,0.042,ask
96370.5,0.06,ask
96370.6,0.052,ask
96370.7,0.815,ask
96370.8,0.467,ask
96371.1,0.004,ask
96372.0,0.094,ask
96372.5,0.042,ask
96373.0,0.043,ask
96374.4,0.127,ask
96374.6,0.001,ask
96374.8,0.279,ask
96374.9,0.524,ask
96375.0,0.72,ask
96376.0,0.093,ask
96376.2,0.011,ask
96376.4,0.084,ask
96376.6,0.01,ask
96376.7,0.014,ask
96376.8,0.042,ask
96376.9,0.001,ask
96377.7,0.004,ask
96378.1,0.15,ask
96378.6,0.01,ask
96378.8,0.001,ask
96379.0,0.572,ask
96379.1,0.156,ask
96379.2,0.001,ask
96379.4,0.001,ask
96379.5,0.042,ask
96379.6,0.015,ask
96379.8,0.043,ask
96379.9,0.018,ask
96380.0,0.109,ask
96380.1,0.016,ask
96380.4,0.001,ask
96380.5,0.272,ask
96380.6,0.032,ask
96380.8,0.032,ask
96381.0,0.146,ask
96381.3,0.016,ask
96381.4,1.033,ask
96381.7,0.001,ask
96381.8,0.001,ask
96381.9,0.001,ask
96382.4,0.1,ask
96382.8,0.208,ask
96383.2,0.126,ask
96383.6,0.156,ask
96383.7,0.001,ask
96384.0,0.201,ask
96384.1,0.127,ask
96384.2,0.194,ask
96384.3,0.008,ask
96384.4,0.008,ask
96384.6,0.032,ask
96384.7,0.92,ask
96384.8,0.048,ask
96384.9,0.008,ask
96385.0,0.01,ask
96385.1,0.016,ask
96385.5,0.052,ask
96385.6,0.577,ask
96385.7,0.062,ask
96385.8,0.624,ask
96385.9,0.572,ask
96386.1,2.129,ask
96386.2,0.021,ask
96386.3,0.048,ask
96386.4,0.633,ask
96386.5,0.046,ask
96386.6,0.152,ask
96386.7,0.052,ask
96386.8,0.016,ask
96386.9,0.048,ask
96387.0,0.167,ask
96387.1,0.136,ask
96387.3,0.084,ask
96387.4,0.036,ask
96387.5,0.033,ask
96387.6,0.068,ask
96387.8,0.096,ask
96387.9,0.064,ask
96388.0,0.109,ask
96388.1,1.049,ask
96388.2,0.004,ask
96388.4,0.882,ask
96388.5,0.1,ask
96388.7,0.004,ask
96388.8,0.115,ask
96388.9,0.001,ask
96389.0,0.006,ask
96389.1,0.005,ask
96389.2,0.001,ask
96389.3,0.208,ask
96389.4,0.254,ask
96389.5,1.145,ask
96389.6,1.457,ask
96389.7,0.87,ask
96389.8,0.056,ask
96390.0,0.087,ask
96390.3,0.072,ask
96390.5,0.1,ask
96390.7,0.726,ask
96390.8,0.004,ask
96390.9,0.588,ask
96391.0,0.574,ask
96391.1,0.078,ask
96391.3,0.032,ask
96391.4,0.001,ask
96391.9,0.016,ask
96392.0,0.109,ask
96392.5,0.228,ask
96392.6,0.016,ask
96392.7,0.11,ask
96392.8,0.668,ask
96392.9,0.016,ask
96393.0,0.016,ask
96393.1,0.032,ask
96393.2,1.144,ask
96393.3,0.048,ask
96393.4,0.059,ask
96393.5,0.058,ask
96393.6,0.032,ask
96393.7,0.073,ask
96393.8,1.198,ask
96393.9,1.073,ask
96394.0,0.016,ask
96394.1,0.056,ask
96394.3,0.064,ask
96394.5,0.563,ask
96394.6,0.219,ask
96394.8,0.081,ask
96394.9,0.016,ask
96395.1,0.005,ask
96395.3,0.001,ask
96395.8,0.005,ask
96395.9,0.901,ask
96396.0,0.14,ask
96396.1,0.01,ask
96396.5,0.053,ask
96396.8,0.136,ask
96397.1,0.052,ask
96397.2,0.001,ask
96397.8,0.002,ask
96398.5,0.15,ask
96398.6,0.001,ask
96398.9,0.572,ask
96399.1,0.19,ask
96399.2,0.005,ask
96399.3,0.16,ask
96399.4,1.285,ask
96399.7,0.572,ask
96400.0,1.439,ask
96400.1,0.25,ask
96400.2,0.042,ask
96400.5,0.114,ask
96400.7,0.162,ask
96400.8,0.558,ask
96401.1,0.002,ask
96401.4,0.004,ask
96401.7,0.001,ask
96402.2,0.301,ask
96402.4,0.042,ask
96402.8,0.1,ask
96402.9,0.612,ask
96403.1,0.001,ask
96403.6,0.089,ask
96403.8,0.001,ask
96404.1,0.127,ask
96404.2,0.129,ask
96404.3,1.386,ask
96404.4,0.052,ask
