price,volume,side
97159.9,4.75,bid
97159.1,0.134,bid
97159.0,0.007,bid
97158.4,0.123,bid
97158.2,0.001,bid
97157.6,0.041,bid
97157.3,0.446,bid
97157.2,0.002,bid
97156.5,0.041,bid
97156.3,0.001,bid
97156.2,0.749,bid
97156.0,0.454,bid
97155.7,0.001,bid
97155.6,0.396,bid
97155.5,0.265,bid
97155.3,0.001,bid
97155.0,0.123,bid
97154.3,0.001,bid
97153.0,0.041,bid
97152.4,0.001,bid
97152.0,0.079,bid
97151.6,0.123,bid
97151.4,0.001,bid
97151.2,0.527,bid
97151.1,0.72,bid
97150.4,0.001,bid
97150.2,0.001,bid
97150.1,0.001,bid
97149.9,0.505,bid
97149.8,0.02,bid
97149.6,0.01,bid
97149.5,0.042,bid
97148.4,0.001,bid
97148.2,0.123,bid
97148.0,0.079,bid
97147.7,0.031,bid
97147.5,0.032,bid
97147.4,0.939,bid
97147.3,0.406,bid
97147.0,0.031,bid
97146.7,0.015,bid
97146.6,0.001,bid
97146.0,0.041,bid
97145.7,0.01,bid
97145.6,0.001,bid
97145.5,0.01,bid
97145.4,0.02,bid
97145.3,0.086,bid
97145.2,1.033,bid
97145.1,0.082,bid
97145.0,0.72,bid
97144.8,0.164,bid
97144.6,0.521,bid
97144.5,0.01,bid
97144.3,0.06,bid
97144.2,0.03,bid
97144.1,0.045,bid
97144.0,0.109,bid
97143.9,0.03,bid
97143.7,0.001,bid
97143.6,0.075,bid
97143.3,0.505,bid
97142.7,0.001,bid
97142.6,0.056,bid
97142.5,0.041,bid
97142.3,0.045,bid
97142.2,0.015,bid
97142.1,0.06,bid
97142.0,1.467,bid
97141.9,0.255,bid
97141.8,0.015,bid
97141.7,0.091,bid
97141.6,0.075,bid
97141.5,0.045,bid
97141.4,0.183,bid
97141.3,0.105,bid
97141.2,0.045,bid
97141.1,0.076,bid
97141.0,0.535,bid
97140.9,0.03,bid
97140.7,0.046,bid
97140.6,0.036,bid
97140.5,0.06,bid
97140.4,0.096,bid
97140.3,0.03,bid
97140.2,0.03,bid
97140.1,0.132,bid
97140.0,0.126,bid
97139.9,0.051,bid
97139.8,0.001,bid
97139.6,0.051,bid
97139.4,0.051,bid
97139.3,0.03,bid
97139.2,0.125,bid
97139.1,0.103,bid
97139.0,0.776,bid
97138.9,0.015,bid
97138.8,0.058,bid
97138.7,0.051,bid
97138.6,0.771,bid
97138.5,0.017,bid
97138.4,0.041,bid
97138.2,0.102,bid
97138.0,0.123,bid
97137.8,0.007,bid
97137.7,1.108,bid
97137.6,0.897,bid
97137.5,0.531,bid
97137.4,0.021,bid
97137.3,0.031,bid
97137.2,0.151,bid
97137.0,0.431,bid
97136.9,0.001,bid
97136.6,0.102,bid
97136.3,0.098,bid
97136.1,0.424,bid
97136.0,0.079,bid
97135.9,0.051,bid
97135.6,0.001,bid
97135.5,0.041,bid
97135.4,0.01,bid
97135.1,0.1,bid
97134.9,0.101,bid
97134.7,0.001,bid
97134.6,0.174,bid
97134.0,0.08,bid
97133.8,0.001,bid
97133.6,0.051,bid
97133.5,0.155,bid
97133.4,0.432,bid
97133.3,0.013,bid
97133.2,0.082,bid
97133.1,0.108,bid
97133.0,0.13,bid
97132.9,0.2,bid
97132.8,0.947,bid
97132.7,1.571,bid
97132.6,0.72,bid
97132.2,0.01,bid
97132.1,0.041,bid
97132.0,0.161,bid
97131.9,0.424,bid
97131.6,0.455,bid
97131.4,0.424,bid
97131.1,0.101,bid
97131.0,0.1,bid
97130.9,0.002,bid
97130.4,0.034,bid
97129.6,0.001,bid
97129.3,0.424,bid
97129.1,0.021,bid
97128.9,0.035,bid
97128.8,1.033,bid
97128.6,0.529,bid
97128.4,0.424,bid
97128.3,0.848,bid
97128.1,0.053,bid
97128.0,0.081,bid
97127.9,0.202,bid
97127.8,0.001,bid
97127.7,0.72,bid
97127.2,0.001,bid
97126.7,0.001,bid
97126.6,0.118,bid
97126.5,0.001,bid
97126.2,0.001,bid
97126.0,0.002,bid
97125.9,0.001,bid
97125.7,0.002,bid
97125.6,0.041,bid
97125.2,0.001,bid
97125.1,0.023,bid
97125.0,0.003,bid
97124.9,0.008,bid
97124.0,0.082,bid
97123.9,0.002,bid
97123.7,0.105,bid
97123.6,0.008,bid
97123.5,0.008,bid
97123.4,0.231,bid
97123.3,0.009,bid
97123.0,0.155,bid
97122.9,0.013,bid
97122.8,0.021,bid
97122.5,1.033,bid
97121.4,0.001,bid
97121.1,0.695,bid
97120.7,0.017,bid
97120.0,0.079,bid
97119.8,0.172,bid
97119.4,0.001,bid
97119.2,0.042,bid
97118.9,0.005,bid
97118.8,0.874,bid
97118.7,0.005,bid
97118.6,0.08,bid
97118.3,0.054,bid
97118.0,0.852,bid
97117.9,0.001,bid
97117.5,0.001,bid
97160.0,3.891,ask
97161.0,0.001,ask
97163.0,0.001,ask
97163.1,0.033,ask
97163.9,0.001,ask
97164.0,0.04,ask
97164.9,0.001,ask
97165.2,0.01,ask
97165.5,0.011,ask
97165.7,0.002,ask
97165.9,0.001,ask
97167.0,0.042,ask
97167.5,0.932,ask
97167.8,0.002,ask
97168.0,0.503,ask
97168.6,0.123,ask
97168.8,0.001,ask
97169.3,0.424,ask
97169.5,0.427,ask
97169.7,0.427,ask
97169.8,0.001,ask
97170.3,0.57,ask
97170.4,0.041,ask
97170.7,0.001,ask
97170.9,0.015,ask
97171.3,0.015,ask
97171.4,0.045,ask
97171.7,0.001,ask
97171.9,0.439,ask
97172.2,0.051,ask
97172.4,1.633,ask
97172.6,0.001,ask
97172.7,1.084,ask
97173.0,0.424,ask
97173.3,0.155,ask
97173.6,0.001,ask
97173.9,0.118,ask
97174.0,0.041,ask
97174.3,0.015,ask
97174.4,0.01,ask
97174.5,0.003,ask
97174.6,0.001,ask
97174.8,0.02,ask
97174.9,0.013,ask
97175.0,0.054,ask
97175.1,0.043,ask
97175.2,0.003,ask
97175.3,0.031,ask
97175.4,0.005,ask
97175.6,0.055,ask
97175.7,0.051,ask
97175.8,0.014,ask
97175.9,0.045,ask
97176.0,0.03,ask
97176.1,0.135,ask
97176.3,0.207,ask
97176.4,0.112,ask
97176.5,0.596,ask
97176.6,0.276,ask
97176.8,1.165,ask
97176.9,0.165,ask
97177.0,0.075,ask
97177.1,0.165,ask
97177.2,0.051,ask
97177.3,0.171,ask
97177.4,0.075,ask
97177.5,0.016,ask
97177.6,0.068,ask
97177.7,0.082,ask
97177.8,0.147,ask
97177.9,0.19,ask
97178.1,0.162,ask
97178.2,0.018,ask
97178.3,0.135,ask
97178.4,1.431,ask
97178.5,0.172,ask
97178.6,1.133,ask
97178.8,0.276,ask
97178.9,0.066,ask
97179.0,0.03,ask
97179.1,0.114,ask
97179.2,0.051,ask
97179.3,0.135,ask
97179.4,0.031,ask
97179.5,0.185,ask
97179.6,0.795,ask
97179.7,0.021,ask
97179.8,0.045,ask
97179.9,0.015,ask
97180.0,0.017,ask
97180.1,0.669,ask
97180.2,0.051,ask
97180.5,0.21,ask
97180.7,0.29,ask
97180.8,0.001,ask
97180.9,0.478,ask
97181.0,0.027,ask
97181.1,0.424,ask
97181.3,0.072,ask
97181.4,0.001,ask
97181.5,0.001,ask
97181.8,0.052,ask
97182.2,0.405,ask
97182.4,0.23,ask
97182.8,0.425,ask
97183.2,0.044,ask
97183.3,0.001,ask
97183.5,0.424,ask
97183.6,1.712,ask
97183.7,0.301,ask
97184.1,0.155,ask
97184.3,0.001,ask
97184.7,0.004,ask
97184.9,0.425,ask
97185.1,0.002,ask
97185.2,2.036,ask
97185.3,0.72,ask
97185.5,0.37,ask
97185.6,0.21,ask
97186.1,0.235,ask
97186.2,0.424,ask
97186.4,1.033,ask
97186.5,0.022,ask
97186.6,0.001,ask
97186.8,0.433,ask
97187.2,0.001,ask
97187.5,0.127,ask
97187.6,0.003,ask
97187.7,0.071,ask
97187.8,0.005,ask
97187.9,0.03,ask
97188.8,0.002,ask
97188.9,0.005,ask
97189.0,0.005,ask
97189.1,0.002,ask
97189.2,0.003,ask
97189.3,0.025,ask
97189.5,0.199,ask
97190.2,0.72,ask
97190.3,0.089,ask
97190.9,0.005,ask
97191.1,0.001,ask
97191.3,0.008,ask
97191.4,0.072,ask
97191.7,0.433,ask
97191.8,0.052,ask
97191.9,0.008,ask
97192.0,0.088,ask
97192.1,0.008,ask
97192.2,1.058,ask
97192.3,0.006,ask
97192.4,0.405,ask
97192.5,0.011,ask
97192.8,1.542,ask
97192.9,0.004,ask
97193.0,0.001,ask
97193.1,0.1,ask
97193.2,0.005,ask
97193.3,0.011,ask
97193.4,0.001,ask
97193.5,0.003,ask
97194.0,1.233,ask
97194.1,0.489,ask
97194.5,0.005,ask
97194.6,0.008,ask
97194.7,0.155,ask
97194.8,1.035,ask
97194.9,0.012,ask
97195.0,0.116,ask
97195.1,0.86,ask
97195.5,0.011,ask
97195.6,0.011,ask
97195.7,0.046,ask
97195.8,0.597,ask
97196.1,0.036,ask
