price,volume,side
96968.1,2.822,bid
96967.0,0.456,bid
96966.2,0.001,bid
96964.0,0.079,bid
96963.8,0.047,bid
96963.3,0.001,bid
96961.2,0.002,bid
96960.4,0.053,bid
96960.0,0.079,bid
96959.4,0.001,bid
96959.2,0.041,bid
96958.9,0.052,bid
96958.6,0.001,bid
96958.5,0.001,bid
96958.4,0.002,bid
96957.1,0.052,bid
96956.5,0.001,bid
96956.0,0.079,bid
96955.8,0.01,bid
96955.6,0.001,bid
96954.5,0.003,bid
96953.6,0.001,bid
96952.8,0.041,bid
96952.1,0.003,bid
96952.0,0.079,bid
96951.7,0.001,bid
96951.5,0.001,bid
96951.3,0.156,bid
96951.0,0.223,bid
96950.7,0.001,bid
96950.3,0.011,bid
96949.7,0.001,bid
96949.3,0.011,bid
96949.2,0.015,bid
96948.8,0.015,bid
96948.7,0.015,bid
96948.6,0.116,bid
96948.4,0.015,bid
96948.3,0.015,bid
96947.8,0.06,bid
96947.7,0.03,bid
96947.5,0.015,bid
96947.4,0.015,bid
96946.8,0.001,bid
96946.7,0.015,bid
96946.6,0.015,bid
96946.5,0.015,bid
96946.4,0.045,bid
96946.3,0.015,bid
96946.2,0.045,bid
96946.1,0.283,bid
96946.0,0.03,bid
96945.9,0.09,bid
96945.8,0.075,bid
96945.7,0.12,bid
96945.6,0.217,bid
96945.5,0.18,bid
96945.4,0.09,bid
96945.3,0.15,bid
96945.2,0.18,bid
96945.1,0.09,bid
96945.0,0.097,bid
96944.9,0.061,bid
96944.8,0.24,bid
96944.7,1.034,bid
96944.4,0.104,bid
96944.3,0.003,bid
96944.0,0.012,bid
96943.8,0.001,bid
96943.7,0.119,bid
96943.6,1.442,bid
96943.5,0.015,bid
96943.4,0.001,bid
96942.9,0.001,bid
96942.4,0.01,bid
96942.3,0.15,bid
96942.0,0.021,bid
96941.9,0.006,bid
96941.8,0.108,bid
96941.6,0.208,bid
96941.5,0.423,bid
96941.2,0.115,bid
96941.1,0.075,bid
96941.0,0.046,bid
96940.7,0.015,bid
96940.6,0.1,bid
96940.4,0.052,bid
96940.3,0.423,bid
96940.1,0.03,bid
96940.0,0.135,bid
96939.9,0.086,bid
96939.8,0.015,bid
96939.6,0.19,bid
96939.5,0.537,bid
96939.3,0.015,bid
96939.2,0.052,bid
96939.1,0.083,bid
96939.0,0.144,bid
96938.9,0.082,bid
96938.8,0.082,bid
96938.7,0.72,bid
96938.4,0.03,bid
96938.3,0.085,bid
96938.1,0.097,bid
96938.0,0.067,bid
96937.9,0.005,bid
96937.8,0.423,bid
96937.7,0.167,bid
96937.6,0.082,bid
96937.5,0.187,bid
96937.4,0.05,bid
96937.3,0.06,bid
96937.2,0.045,bid
96937.1,0.001,bid
96936.9,0.011,bid
96936.8,0.1,bid
96936.7,0.223,bid
96936.5,0.052,bid
96936.4,0.49,bid
96936.3,0.433,bid
96936.1,1.043,bid
96935.6,0.052,bid
96935.5,0.052,bid
96935.4,0.052,bid
96935.2,0.001,bid
96935.0,0.156,bid
96934.6,0.485,bid
96934.1,0.163,bid
96933.8,0.1,bid
96933.6,0.053,bid
96933.3,0.001,bid
96932.6,0.217,bid
96932.5,0.423,bid
96932.4,0.423,bid
96932.3,0.435,bid
96932.2,0.1,bid
96932.1,0.001,bid
96931.9,0.1,bid
96931.8,0.172,bid
96931.7,0.111,bid
96931.6,0.72,bid
96931.5,0.491,bid
96931.3,0.001,bid
96931.2,0.179,bid
96931.1,0.092,bid
96930.4,0.105,bid
96930.3,0.002,bid
96930.2,0.413,bid
96930.1,0.155,bid
96929.7,0.485,bid
96929.4,0.002,bid
96929.0,1.033,bid
96928.3,0.035,bid
96928.1,0.129,bid
96927.5,0.163,bid
96927.4,0.001,bid
96927.2,0.464,bid
96927.0,0.003,bid
96926.8,0.038,bid
96926.7,0.72,bid
96926.6,0.504,bid
96926.5,0.007,bid
96925.8,0.027,bid
96925.7,0.423,bid
96925.6,0.786,bid
96925.5,0.106,bid
96925.1,0.011,bid
96925.0,0.001,bid
96924.8,0.485,bid
96924.3,0.011,bid
96923.9,0.011,bid
96923.6,0.002,bid
96923.4,0.127,bid
96922.4,0.001,bid
96922.1,0.001,bid
96921.8,0.72,bid
96921.7,0.49,bid
96921.6,0.008,bid
96921.3,0.004,bid
96920.9,0.006,bid
96920.7,0.468,bid
96920.6,0.105,bid
96920.5,2.046,bid
96920.4,0.002,bid
96920.1,0.009,bid
96919.7,0.001,bid
96919.6,0.423,bid
96919.4,0.011,bid
96919.0,0.012,bid
