price,volume,side
98060.5,11.111,bid
98060.0,0.147,bid
98059.9,0.014,bid
98059.6,0.041,bid
98058.7,0.001,bid
98058.4,0.041,bid
98058.3,0.003,bid
98057.9,0.012,bid
98057.7,0.084,bid
98057.4,0.001,bid
98057.0,0.698,bid
98056.9,0.084,bid
98056.8,0.3,bid
98056.7,0.116,bid
98056.0,0.188,bid
98055.9,0.009,bid
98055.7,0.001,bid
98055.5,0.75,bid
98054.2,0.052,bid
98053.9,1.02,bid
98053.8,1.249,bid
98053.6,0.041,bid
98053.1,0.001,bid
98053.0,0.004,bid
98052.8,0.001,bid
98052.5,0.194,bid
98052.4,0.056,bid
98052.2,0.071,bid
98052.1,0.211,bid
98052.0,0.86,bid
98051.9,0.023,bid
98051.8,0.001,bid
98050.6,0.291,bid
98050.5,0.75,bid
98050.4,0.016,bid
98050.0,1.958,bid
98049.6,0.042,bid
98049.2,0.017,bid
98049.0,0.041,bid
98048.8,0.27,bid
98048.7,1.153,bid
98048.5,0.13,bid
98048.4,0.148,bid
98048.2,0.001,bid
98048.1,0.051,bid
98047.5,0.152,bid
98047.2,0.041,bid
98047.1,0.051,bid
98047.0,0.051,bid
98046.9,0.074,bid
98046.6,0.051,bid
98046.4,0.051,bid
98046.3,1.02,bid
98046.2,0.271,bid
98046.0,0.051,bid
98045.9,0.04,bid
98045.8,0.015,bid
98045.7,0.13,bid
98045.6,0.07,bid
98045.5,0.791,bid
98045.4,0.003,bid
98045.0,0.008,bid
98044.9,0.563,bid
98044.7,0.002,bid
98044.4,0.135,bid
98044.3,0.23,bid
98044.2,0.563,bid
98044.0,0.051,bid
98043.9,0.051,bid
98043.8,0.635,bid
98043.7,0.081,bid
98043.6,0.061,bid
98043.4,0.095,bid
98043.1,0.003,bid
98042.9,0.015,bid
98042.8,0.054,bid
98042.6,0.004,bid
98042.4,0.015,bid
98042.2,0.004,bid
98042.1,0.015,bid
98042.0,0.071,bid
98041.9,0.086,bid
98041.7,1.592,bid
98041.6,0.058,bid
98041.5,0.053,bid
98041.4,0.051,bid
98041.3,0.1,bid
98041.2,0.173,bid
98041.1,0.085,bid
98041.0,0.563,bid
98040.9,0.153,bid
98040.8,0.05,bid
98040.7,0.563,bid
98040.6,0.007,bid
98040.5,0.81,bid
98040.4,0.04,bid
98040.3,1.05,bid
98040.2,0.03,bid
98040.1,0.067,bid
98040.0,0.07,bid
98039.9,0.045,bid
98039.8,0.03,bid
98039.7,0.149,bid
98039.6,0.216,bid
98039.5,0.075,bid
98039.4,0.778,bid
98039.3,0.276,bid
98039.2,0.075,bid
98039.1,2.33,bid
98039.0,0.076,bid
98038.9,0.075,bid
98038.8,0.015,bid
98038.7,0.015,bid
98038.5,0.041,bid
98038.4,0.112,bid
98038.2,0.335,bid
98038.1,0.02,bid
98038.0,0.521,bid
98037.8,0.563,bid
98037.5,0.052,bid
98037.4,0.01,bid
98037.1,0.006,bid
98037.0,1.353,bid
98036.9,0.146,bid
98036.8,0.5,bid
98036.4,0.001,bid
98036.0,0.03,bid
98035.9,0.122,bid
98035.8,0.045,bid
98035.7,0.106,bid
98035.6,0.079,bid
98035.5,0.09,bid
98035.4,0.105,bid
98035.3,0.097,bid
98035.2,0.031,bid
98035.1,0.016,bid
98035.0,1.14,bid
98034.9,0.718,bid
98034.8,0.015,bid
98034.7,0.001,bid
98034.5,0.015,bid
98034.4,0.033,bid
98034.3,0.592,bid
98034.2,0.015,bid
98034.1,1.488,bid
98034.0,0.09,bid
98033.9,0.045,bid
98033.8,0.045,bid
98033.7,0.105,bid
98033.6,0.03,bid
98033.5,0.061,bid
98033.4,0.09,bid
98033.3,0.03,bid
98033.2,0.949,bid
98033.1,0.015,bid
98033.0,0.015,bid
98032.8,1.02,bid
98032.7,0.034,bid
98032.6,0.046,bid
98032.5,0.03,bid
98032.4,0.06,bid
98032.3,0.06,bid
98032.2,0.045,bid
98032.1,0.06,bid
98032.0,0.135,bid
98031.9,0.075,bid
98031.8,0.076,bid
98031.7,0.045,bid
98031.6,0.105,bid
98031.5,0.071,bid
98031.4,0.142,bid
98031.3,0.045,bid
98031.2,0.192,bid
98031.1,0.206,bid
98031.0,0.075,bid
98030.9,0.133,bid
98030.7,0.018,bid
98030.6,0.015,bid
98030.3,0.014,bid
98030.2,0.105,bid
98030.0,0.756,bid
98029.9,0.104,bid
98029.8,0.766,bid
98029.6,0.051,bid
98029.3,0.006,bid
98029.2,0.002,bid
98029.1,0.354,bid
98028.3,0.01,bid
98028.0,2.426,bid
98027.9,0.105,bid
98027.8,0.712,bid
98027.7,0.645,bid
98027.6,0.517,bid
98027.3,0.001,bid
98027.2,0.105,bid
98026.9,0.122,bid
98026.7,0.015,bid
98026.5,1.02,bid
98026.3,0.003,bid
98026.2,0.201,bid
98060.6,1.413,ask
98061.5,0.001,ask
98062.8,0.433,ask
98063.5,0.001,ask
98064.8,0.001,ask
98065.5,0.001,ask
98065.9,0.243,ask
98066.0,0.004,ask
98066.1,0.008,ask
98066.5,0.001,ask
98068.0,0.106,ask
98068.4,0.001,ask
98069.0,0.173,ask
98069.3,0.001,ask
98069.4,0.002,ask
98070.0,0.041,ask
98070.4,0.001,ask
98070.5,0.001,ask
98071.2,0.041,ask
98071.4,0.031,ask
98071.6,0.015,ask
98071.8,0.09,ask
98072.0,0.106,ask
98072.1,0.015,ask
98072.2,0.001,ask
98072.3,0.052,ask
98072.4,0.001,ask
98072.6,0.037,ask
98072.8,0.041,ask
98073.3,0.028,ask
98073.4,0.011,ask
98073.5,0.041,ask
98073.8,0.02,ask
98074.1,0.001,ask
98074.3,0.008,ask
98075.2,0.041,ask
98075.3,0.001,ask
98075.4,0.025,ask
98075.5,0.105,ask
98075.7,0.043,ask
98076.0,0.106,ask
98076.3,0.001,ask
98077.0,0.051,ask
98077.3,0.001,ask
98077.4,0.015,ask
98077.5,0.035,ask
98077.6,0.056,ask
98077.8,0.04,ask
98077.9,0.015,ask
98078.2,0.001,ask
98078.3,0.075,ask
98078.4,0.056,ask
98078.5,0.27,ask
98078.6,0.075,ask
98078.7,0.051,ask
98078.8,0.225,ask
98078.9,0.045,ask
